step,training_minimized_loss
1,0.9948135896115902
100,0.4859162132036521
200,0.34185519755828087
300,0.14104009193214218
400,0.16573945347097685
500,0.05924212541925611
600,0.02794420956707233
700,-0.07107153588536552
800,-0.14306873344720472
900,-0.0686376871540122
1000,-0.19154239447035026
1100,-0.31024881951298244
1200,-0.3004183263163587
1300,-0.37345004255439096
1400,-0.24261990243127118
1500,-0.3114390743143085
1600,-0.28777840709040037
1700,-0.32137511639068306
1800,-0.34556980402885085
1900,-0.3256571093357983
2000,-0.3671582704509908
2100,-0.3676708092598253
2200,-0.3990922920605353
2300,-0.4340612996392128
2400,-0.3237583088316671
2500,-0.4081113906947107
2600,-0.32714060495904906
2700,-0.376033624513914
2800,-0.24476578724661913
2900,-0.3963631951587896
3000,-0.45425714098825143
3100,-0.3636687400833907
3200,-0.36768063902744963
3300,-0.3099053968624528
3400,-0.3907930784636964
3500,-0.39224069805795825
3600,-0.3175981589087451
3700,-0.36414801531398666
3800,-0.38497957968708807
3900,-0.2932021836114007
4000,-0.3671509465896454
4100,-0.41493546377475
4200,-0.41214716103972115
4300,-0.4383227002349326
4400,-0.35726497015457426
4500,-0.42483391990088126
4600,-0.46902616696794475
4700,-0.4285565302821137
4800,-0.3367748406609614
4900,-0.44147316400898795
5000,-0.5157048728134317
